rooms,sqft,price
3,1212,62070
2,2281,110552
2,934,43109
3,1352,65837
3,643,31676
3,1580,79232
3,868,49301
4,2333,114433
3,1706,91741
3,1769,93824
5,1641,88420
3,954,49725
4,1562,82510
2,2419,120347
2,1504,78453
2,991,50788
3,574,33499
3,1143,60268
4,619,31935
3,1915,93218
3,1891,95931
3,1062,50261
3,1807,94837
3,1212,64838
5,1477,78448
2,1686,85980
4,1278,68797
2,1709,86646
3,657,32983
3,1559,75137
3,1483,72815
4,500,28694
3,595,30729
2,570,34385
4,1707,87676
3,1562,76825
3,1637,86621
3,837,39789
1,2069,101911
4,1991,103221
4,1117,59865
4,2088,109509
5,1375,70780
2,612,35939
4,684,40355
3,1867,92251
3,1448,70040
3,1941,97258
3,1456,70328
2,1634,80975
3,2500,130894
2,2198,108881
2,1284,64886
1,1687,89526
3,1747,87792
3,1881,95328
4,1536,80761
3,1253,64810
1,1498,75371
4,1260,61926
3,2342,119356
3,2120,103986
4,1398,68676
4,1714,90097
5,1417,70838
3,2097,104083
3,2024,106662
2,1784,91336
4,1936,94339
2,1830,92475
1,2087,108903
4,1766,91321
2,1576,77128
4,1211,60155
3,714,39570
1,1486,70293
1,1129,52978
2,1530,76330
3,2070,104196
2,1586,83585
2,1292,62302
2,1073,59196
3,785,39376
3,2166,113795
3,612,35825
4,1033,52304
4,500,30671
4,1342,73614
1,1329,71317
2,1298,64355
3,1468,77910
2,1089,58333
3,1043,48704
4,2409,120959
4,1333,65924
4,1954,99389
3,1082,56300
4,2306,117171
2,2257,110887
4,1616,87114
3,950,52363
2,1544,77581
1,1524,75234
3,1620,82349
3,1011,49981
4,738,43318
3,1581,80874
3,1495,77868
4,1501,72930
3,2013,106675
2,762,43330
4,2005,106624
3,1128,54642
4,1302,64126
2,1087,59459
3,1545,83207
3,547,31638
3,1216,59090
3,1242,62447
4,2132,112772
3,1575,81029
3,1848,92230
2,1503,72846
4,976,53579
4,1954,102943
4,1077,53471
2,1237,58544
3,1591,80923
4,1973,102120
2,1399,66995
3,2255,111731
5,1214,59525
5,1833,92691
4,1502,74259
4,2273,116684
2,1607,86068
4,561,29590
3,2044,103056
2,1459,75058
2,1223,64529
3,2111,102781
2,1334,71673
2,1800,90541
4,1116,58806
3,1082,53338
3,2405,120538
3,1106,52733
2,1208,64213
2,646,33216
3,2315,117942
2,1699,88916
1,1619,81705
3,1988,103280
2,835,42697
4,1229,61036
4,1454,73429
3,726,40351
2,2156,107576
4,1491,77236
3,1338,67474
3,1618,82576
3,1124,61621
4,1523,77983
3,2500,130104
3,1802,91074
4,2334,116661
5,1322,68855
5,1124,61039
4,1655,87110
1,829,38279
2,500,23504
2,1866,92840
5,1821,93159
2,1917,98502
3,1514,76467
3,2489,122757
2,1456,73688
3,1223,62714
3,500,29781
2,1476,76698
4,1916,99939
1,1503,77480
2,2062,108670
4,2500,126673
2,1413,67874
3,2116,106036
2,707,33523
3,2016,100261
1,1532,81949
2,1389,73937
1,1418,73574
3,1422,70626
3,1346,65064
2,1599,81661
4,1413,75849
2,922,43509
4,1709,91938
5,1196,59505
3,2024,105712
2,1483,74599
2,1564,77770
2,500,22198
4,872,47113
3,1970,98461
4,1133,59175
4,1234,67907
3,1361,66575
3,2182,112143
5,1687,85921
4,2155,110873
3,1366,69197
4,1607,83963
4,898,47062
4,2089,102624
4,1554,77492
2,1522,73156
1,1669,88386
4,2223,114944
5,1393,71961
2,2332,116049
3,1074,56747
2,1711,89565
4,2500,124072
1,1255,60603
1,1623,79516
3,1939,96477
3,1431,75488
3,750,35990
3,972,46481
4,1790,91393
3,1946,100172
2,1892,95629
2,2073,102334
4,1536,76021
2,1604,76280
2,741,39764
3,1659,87307
4,1806,87509
4,1208,58585
3,1822,88074
2,592,30679
3,1876,90606
4,1650,83612
3,2500,131017
3,2207,111374
3,2253,116088
3,1909,93465
3,1823,92476
2,909,46096
2,1332,72401
2,2413,125133
4,772,38293
3,1275,69433
4,790,39628
3,2225,108984
2,1217,65771
4,2272,111851
3,1293,70381
4,1248,59751
4,2139,110013
5,1969,104433
3,500,26362
4,1726,91200
4,1800,87607
2,1605,84595
3,1171,62748
2,1514,76279
1,1301,64736
3,1606,78643
4,1399,69888
4,1189,56928
3,1582,80635
4,1901,98464
2,1645,86703
3,1223,60690
4,1668,86672
3,2035,104568
3,2298,115756
4,2104,107125
2,1769,92407
2,995,51633
3,817,45925
4,1399,67565
3,795,37457
2,1108,55181
4,1415,75542
4,1258,60415
4,1336,65640
4,836,45833
1,1616,86193
2,1998,100782
3,1226,59025
3,1863,95958
4,2500,130259
2,1454,76824
3,1826,92471
2,1598,76100
1,1985,97199
3,641,32492
4,972,53644
3,1572,78160
3,1943,103317
1,1565,75521
4,668,37050
3,1088,57503
5,1103,57299
4,1694,88802
1,1119,58485
4,1160,57020
2,2042,100227
2,2168,105262
3,1293,64606
3,1712,90794
3,559,26659
2,1599,76123
2,2095,110047
4,1763,88643
3,1551,79464
3,1306,62327
1,1177,60548
3,1410,71441
2,724,36981
2,2305,114239
4,1782,88291
2,1449,75552
2,1190,60859
